"";"Fecha";"Hora";"Nombre";"Categoria";"Region";"Comuna";"PrecioNormal";"PrecioCalculado";"TipoMoneda";"ValorUf"
"1";"Hoy";"04:31";"Garzona ";"Busco empleo";"IX Araucanía";"Temuco";NA;NA;NA;NA
"2";"Hoy";"04:03";"Hino xzu 300 2017 ";"Buses, camiones y furgones";"IX Araucanía";"Temuco";NA;NA;NA;NA
"3";"Hoy";"04:02";"Telescopio Celestron Powerseeker 127eq";"Hobbies y outdoor";"IX Araucanía";"Gorbea";470000;NA;"peso";NA
"4";"Hoy";"03:53";"Xbox series s + monitor 144hz conversable";"Consolas, videojuegos y accesorios";"IX Araucanía";"Temuco";5e+05;NA;"peso";NA
"5";"Hoy";"02:45";"Leña en saco por mayor ";"Negocios, maquinaria y construcción";"IX Araucanía";"Cunco";2600;NA;"peso";NA
"6";"Hoy";"02:40";"Coche uppa baby ";"Coches y artículos infantiles";"IX Araucanía";"Temuco";1e+05;NA;"peso";NA
"7";"Hoy";"02:16";"Patitos Nuevos";"Animales y sus accesorios";"IX Araucanía";"Villarrica";2500;NA;"peso";NA
"8";"Hoy";"02:14";"Bicicleta Oxford aro 26";"Bicicletas, ciclismo y accesorios";"IX Araucanía";"Temuco";1e+05;NA;"peso";NA
"9";"Hoy";"01:40";"Bicicleta Spinning Atletis";"Deportes, gimnasia y accesorios";"IX Araucanía";"Temuco";135000;NA;"peso";NA
"10";"Hoy";"01:39";"Mochila senderismo";"Hobbies y outdoor";"IX Araucanía";"Temuco";5000;NA;"peso";NA
"11";"Hoy";"01:32";"Peluches Pokemon nuevos";"Juguetes";"IX Araucanía";"Temuco";8500;NA;"peso";NA
"12";"Hoy";"01:31";"Gabinete ";"Jardín, herramientas y exteriores";"IX Araucanía";"Temuco";25000;NA;"peso";NA
"13";"Hoy";"01:21";"Neumático nuevo ";"Accesorios y piezas para vehículos";"IX Araucanía";"Temuco";89000;NA;"peso";NA
"14";"Hoy";"01:21";"Tractor ford  ";"Otros vehículos";"IX Araucanía";"Lumaco";NA;NA;NA;NA
"15";"Hoy";"01:19";"Hyundai getz 2011";"Autos, camionetas y 4x4";"IX Araucanía";"Temuco";5800000;NA;"peso";NA
"16";"Hoy";"01:14";"Gabinete metálico ";"Jardín, herramientas y exteriores";"IX Araucanía";"Temuco";39000;NA;"peso";NA
"17";"Hoy";"01:08";"Pizzeros ";"Ofertas de empleo";"IX Araucanía";"Temuco";NA;NA;NA;NA
"18";"Hoy";"00:58";"Set 12 figuras animales nuevas";"Juguetes";"IX Araucanía";"Temuco";11000;NA;"peso";NA
"19";"Hoy";"00:58";"Botas número 44";"Accesorios y piezas para vehículos";"IX Araucanía";"Temuco";NA;NA;NA;NA
"20";"Hoy";"00:58";"Manta mapuche";"Moda y vestuario";"IX Araucanía";"Padre las Casas";180000;NA;"peso";NA
"21";"Hoy";"00:57";"mi chinito";"Autos, camionetas y 4x4";"IX Araucanía";"Temuco";3e+06;NA;"peso";NA
"22";"Hoy";"00:52";"Pack 13 figuras Dragonball nuevas";"Juguetes";"IX Araucanía";"Temuco";16000;NA;"peso";NA
"23";"Hoy";"00:48";"Set 21 figuras Dragonball nuevas";"Juguetes";"IX Araucanía";"Temuco";20000;NA;"peso";NA
"24";"Hoy";"00:48";"Fibra óptica";"Negocios, maquinaria y construcción";"IX Araucanía";"Temuco";14500;NA;"peso";NA
"25";"Hoy";"00:43";"Torre PC ";"Computadores y accesorios";"IX Araucanía";"Temuco";NA;NA;NA;NA
"26";"Hoy";"00:39";"Set herramientas";"Juguetes";"IX Araucanía";"Temuco";24990;NA;"peso";NA
"27";"Hoy";"00:35";"Budinera";"Otros artículos del hogar";"IX Araucanía";"Temuco";6990;NA;"peso";NA
