"";"Fecha";"Hora";"Nombre";"Categoria";"Region";"Comuna";"PrecioNormal";"PrecioCalculado";"TipoMoneda";"ValorUf"
"1";"Hoy";"02:22";"Huincha de medir";"Jardín, herramientas y exteriores";"Región Metropolitana";"La Florida";NA;NA;NA;NA
"2";"Hoy";"02:17";"Único en Chile";"Otros artículos del hogar";"Región Metropolitana";"La Florida";85000;NA;"peso";NA
"3";"Hoy";"01:56";"Living 5 cpos con o sin madera";"Muebles";"Región Metropolitana";"La Florida";310000;NA;"peso";NA
"4";"Hoy";"01:56";"Estilista unisex";"Ofertas de empleo";"Región Metropolitana";"La Florida";NA;NA;NA;NA
"5";"Hoy";"01:48";"Entrenador";"Ofertas de empleo";"Región Metropolitana";"La Florida";NA;NA;NA;NA
"6";"Hoy";"01:48";"Subaru Impreza Turbo Integral";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";5500000;NA;"peso";NA
"7";"Hoy";"01:37";"Linda decoración en fierro forjado";"Otros artículos del hogar";"Región Metropolitana";"La Florida";54000;NA;"peso";NA
"8";"Hoy";"01:35";"Rack con librero y copero espejado";"Muebles";"Región Metropolitana";"La Florida";40000;NA;"peso";NA
"9";"Hoy";"01:28";"Linda casa en La Florida, sector San José de la Es";"Vendo";"Región Metropolitana";"La Florida";2265;69959530,65;"UF";30887,21
"10";"Hoy";"01:26";"Wired controller PDP xbox one- red";"Consolas, videojuegos y accesorios";"Región Metropolitana";"La Florida";25000;NA;"peso";NA
"11";"Hoy";"01:17";"Botella CamelBak eddy+ Kids 14oz / SummitStore";"Hobbies y outdoor";"Región Metropolitana";"La Florida";14990;NA;"peso";NA
"12";"Hoy";"01:16";"Mueble ";"Muebles";"Región Metropolitana";"La Florida";20000;NA;"peso";NA
"13";"Hoy";"01:13";"Telefono Publico Para Decoracion";"Accesorios y piezas para vehículos";"Región Metropolitana";"La Florida";120000;NA;"peso";NA
"14";"Hoy";"01:09";"Antiguo Telefono Publico Para Decoracion";"Arte, antigüedades y colecciones";"Región Metropolitana";"La Florida";160000;NA;"peso";NA
"15";"Hoy";"01:08";"Canchero Club de Tenis La FLorida";"Ofertas de empleo";"Región Metropolitana";"La Florida";20000;NA;"peso";NA
"16";"Hoy";"00:53";"Rejilla para audi";"Accesorios y piezas para vehículos";"Región Metropolitana";"La Florida";140000;NA;"peso";NA
"17";"Hoy";"00:50";"Cubre piso";"Accesorios y piezas para vehículos";"Región Metropolitana";"La Florida";60000;NA;"peso";NA
